 Income ,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Childrenhome,Total_Accepted_Cmps,Total_Mnt_spent,Age,TotalPurchases,Basic,Graduation,Master,PhD,Divorced,Married,Single,Together,Widow,CA,GER,IND,ME,SA,SP,US,campaign_binary
84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,0,1,1190,51,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
57091.0,0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,0,2,577,60,18,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
67267.0,0,1,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,1,0,251,63,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2,0,11,54,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,1,2,91,32,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
71691.0,0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,0,1,1192,63,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,0,2,1215,67,28,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,1,0,96,54,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1,0,544,67,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1,0,544,67,20,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
81044.0,0,0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,0,0,1208,74,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,1,0,222,42,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
67786.0,0,0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,0,1,1156,62,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
26872.0,0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,0,0,72,40,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4428.0,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,1,0,359,52,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,2,0,174,44,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,2,1,174,44,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
32173.0,0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,1,0,22,63,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,0,72,61,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,3,0,13,63,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
36634.0,0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,1,0,335,67,15,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
43456.0,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,1,0,393,55,17,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,1,0,92,42,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,1,0,404,45,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
57731.0,0,1,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,1,0,704,52,26,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,1,0,122,56,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,2,0,684,65,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,2,0,684,65,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,2,0,45,65,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
73170.0,0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,0,0,726,46,16,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,2,0,272,50,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
79529.0,0,0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,0,0,1638,35,22,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
34578.0,2,1,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,3,0,8,49,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
46374.0,0,1,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,1,3,446,47,18,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,0,0,43,31,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
95169.0,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,0,3,1901,34,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
65370.0,0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,0,0,461,37,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
39228.0,0,0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,0,0,20,61,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
84865.0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,0,5,1688,60,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,1,0,1008,53,24,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
21359.0,1,0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,1,1,48,49,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
66465.0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,1,1,1485,66,35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
81698.0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,0,2,1104,38,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,1,0,165,35,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
25959.0,1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,2,1,56,51,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
64260.0,0,0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,0,1,1574,60,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
32300.0,1,0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,1,0,39,48,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,1,0,965,56,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72967.0,0,1,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,1,2,497,51,19,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
48904.0,0,1,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,1,0,371,61,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14796.0,1,0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,1,1,51,37,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,0,1253,67,21,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,3,0,17,43,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
90369.0,0,0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,0,1,1588,65,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
18393.0,1,0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,1,0,50,47,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,2,1,83,69,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
38576.0,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,1,0,41,48,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,1,0,231,46,12,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
83715.0,0,0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,0,0,926,59,24,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,1,2,893,57,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
6560.0,0,0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,0,0,373,39,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,1,0,32,60,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
38236.0,1,1,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,2,0,88,53,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
22701.0,1,0,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,1,0,24,44,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
53367.0,1,1,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,2,1,400,47,21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34728.0,1,0,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,1,1,36,35,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
63915.0,0,2,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,2,0,789,65,23,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82504.0,0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,0,0,1066,61,17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,2,1,73,49,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,2,0,73,49,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
79174.0,0,0,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,0,3,2043,46,19,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
